PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,Alone,Title,Level
1,0,3,0.0,22.0,1,0,7.25,0.0,2,0,0.0,A
3,1,3,1.0,26.0,0,0,7.925,0.0,1,1,0.0,A
5,0,3,0.0,35.0,0,0,8.05,0.0,1,1,0.0,A
6,0,3,0.0,26.0,0,0,8.4583,0.0,1,1,0.0,A
8,0,3,0.0,2.0,3,1,21.075,0.0,5,0,1.0,A
9,1,3,1.0,27.0,0,2,11.1333,0.0,3,0,0.0,G
10,1,2,1.0,14.0,1,0,30.0708,1.0,2,0,0.0,A
13,0,3,0.0,20.0,0,0,8.05,0.0,1,1,0.0,A
14,0,3,0.0,39.0,1,5,31.275,0.0,7,0,0.0,A
15,0,3,1.0,14.0,0,0,7.8542,0.0,1,1,0.0,A
16,1,2,1.0,55.0,0,0,16.0,0.0,1,1,0.0,D
17,0,3,0.0,2.0,4,1,29.125,0.0,6,0,1.0,A
18,1,2,0.0,31.0,0,0,13.0,0.0,1,1,0.0,A
19,0,3,1.0,31.0,1,0,18.0,0.0,2,0,0.0,G
20,1,3,1.0,31.0,0,0,7.225,1.0,1,1,0.0,F
21,0,2,0.0,35.0,0,0,26.0,0.0,1,1,0.0,D
23,1,3,1.0,15.0,0,0,8.0292,0.0,1,1,0.0,A
25,0,3,1.0,8.0,3,1,21.075,0.0,5,0,0.0,A
26,1,3,1.0,38.0,1,5,31.3875,0.0,7,0,0.0,A
27,0,3,0.0,26.0,0,0,7.225,1.0,1,1,0.0,F
29,1,3,1.0,18.0,0,0,7.8792,0.0,1,1,0.0,A
30,0,3,0.0,26.0,0,0,7.8958,0.0,1,1,0.0,A
31,0,1,0.0,40.0,0,0,27.7208,1.0,1,1,0.0,C
33,1,3,1.0,18.0,0,0,7.75,0.0,1,1,0.0,F
34,0,2,0.0,66.0,0,0,10.5,0.0,1,1,0.0,D
35,0,1,0.0,28.0,1,0,82.1708,1.0,2,0,0.0,C
36,0,1,0.0,42.0,1,0,52.0,0.0,2,0,0.0,A
37,1,3,0.0,26.0,0,0,7.2292,1.0,1,1,0.0,F
38,0,3,0.0,21.0,0,0,8.05,0.0,1,1,0.0,A
39,0,3,1.0,18.0,2,0,18.0,0.0,3,0,0.0,G
40,1,3,1.0,14.0,1,0,11.2417,1.0,2,0,0.0,A
41,0,3,1.0,40.0,1,0,9.475,0.0,2,0,0.0,A
42,0,2,1.0,27.0,1,0,21.0,0.0,2,0,0.0,F
43,0,3,0.0,26.0,0,0,7.8958,1.0,1,1,0.0,A
44,1,2,1.0,3.0,1,2,41.5792,1.0,4,0,0.0,A
45,1,3,1.0,19.0,0,0,7.8792,0.0,1,1,0.0,A
46,0,3,0.0,26.0,0,0,8.05,0.0,1,1,0.0,A
47,0,3,0.0,26.0,1,0,15.5,0.0,2,0,0.0,A
48,1,3,1.0,18.0,0,0,7.75,0.0,1,1,0.0,F
49,0,3,0.0,26.0,2,0,21.6792,1.0,3,0,0.0,A
50,0,3,1.0,18.0,1,0,17.8,0.0,2,0,0.0,G
51,0,3,0.0,7.0,4,1,39.6875,0.0,6,0,1.0,F
52,0,3,0.0,21.0,0,0,7.8,0.0,1,1,0.0,F
54,1,2,1.0,29.0,1,0,26.0,0.0,2,0,0.0,F
57,1,2,1.0,21.0,0,0,10.5,0.0,1,1,0.0,F
58,0,3,0.0,28.5,0,0,7.2292,1.0,1,1,0.0,F
59,1,2,1.0,5.0,1,2,27.75,0.0,4,0,0.0,F
60,0,3,0.0,11.0,5,2,46.9,0.0,8,0,1.0,A
61,0,3,0.0,22.0,0,0,7.2292,1.0,1,1,0.0,F
64,0,3,0.0,4.0,3,2,27.9,0.0,6,0,1.0,A
65,0,1,0.0,40.0,0,0,27.7208,1.0,1,1,0.0,C
66,1,3,0.0,4.0,1,1,15.2458,1.0,3,0,1.0,A
68,0,3,0.0,19.0,0,0,8.1583,0.0,1,1,0.0,A
69,1,3,1.0,17.0,4,2,7.925,0.0,7,0,0.0,G
70,0,3,0.0,26.0,2,0,8.6625,0.0,3,0,0.0,A
71,0,2,0.0,32.0,0,0,10.5,0.0,1,1,0.0,A
72,0,3,1.0,16.0,5,2,46.9,0.0,8,0,0.0,A
73,0,2,0.0,21.0,0,0,73.5,0.0,1,1,0.0,A
74,0,3,0.0,26.0,1,0,14.4542,1.0,2,0,0.0,A
