PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,Alone,Title
2,1,1,0,38.0,1,0,71.2833,1,2,0,0
4,1,1,0,35.0,1,0,53.1,0,2,0,0
7,0,1,1,54.0,0,0,51.8625,0,1,1,0
11,1,3,0,4.0,1,1,16.7,0,3,0,0
12,1,1,0,58.0,0,0,26.55,0,1,1,0
22,1,2,1,34.0,0,0,13.0,0,1,1,0
24,1,1,1,28.0,0,0,35.5,0,1,1,0
28,0,1,1,19.0,3,2,263.0,0,6,0,0
32,1,1,0,40.0,1,0,146.5208,1,2,0,0
53,1,1,0,49.0,1,0,76.7292,1,2,0,0
55,0,1,1,65.0,0,1,61.9792,1,2,0,0
56,1,1,1,40.0,0,0,35.5,0,1,1,0
62,1,1,0,38.0,0,0,80.0,0,1,1,0
63,0,1,1,45.0,1,0,83.475,0,2,0,0
67,1,2,0,29.0,0,0,10.5,0,1,1,0
76,0,3,1,25.0,0,0,7.65,0,1,1,0
89,1,1,0,23.0,3,2,263.0,0,6,0,0
93,0,1,1,46.0,1,0,61.175,0,2,0,0
97,0,1,1,71.0,0,0,34.6542,1,1,1,0
98,1,1,1,23.0,0,1,63.3583,1,2,0,0
103,0,1,1,21.0,0,1,77.2875,0,2,0,0
111,0,1,1,47.0,0,0,52.0,0,1,1,0
119,0,1,1,24.0,0,1,247.5208,1,2,0,0
124,1,2,0,32.5,0,0,13.0,0,1,1,0
125,0,1,1,54.0,0,1,77.2875,0,2,0,0
129,1,3,0,18.0,1,1,22.3583,1,3,0,0
137,1,1,0,19.0,0,2,26.2833,0,3,0,0
138,0,1,1,37.0,1,0,53.1,0,2,0,0
140,0,1,1,24.0,0,0,79.2,1,1,1,0
149,0,2,1,36.5,0,2,26.0,0,3,0,0
152,1,1,0,22.0,1,0,66.6,0,2,0,0
167,1,1,0,40.0,0,1,55.0,0,2,0,0
171,0,1,1,61.0,0,0,33.5,0,1,1,0
175,0,1,1,56.0,0,0,30.6958,1,1,1,0
178,0,1,0,50.0,0,0,28.7125,1,1,1,0
184,1,2,1,1.0,2,1,39.0,0,4,0,1
186,0,1,1,40.0,0,0,50.0,0,1,1,0
194,1,2,1,3.0,1,1,26.0,0,3,0,1
195,1,1,0,44.0,0,0,27.7208,1,1,1,0
196,1,1,0,58.0,0,0,146.5208,1,1,1,0
206,0,3,0,2.0,0,1,10.4625,0,2,0,0
210,1,1,1,40.0,0,0,31.0,1,1,1,0
216,1,1,0,31.0,1,0,113.275,1,2,0,0
219,1,1,0,32.0,0,0,76.2917,1,1,1,0
225,1,1,1,38.0,1,0,90.0,0,2,0,0
231,1,1,0,35.0,1,0,83.475,0,2,0,0
246,0,1,1,44.0,2,0,90.0,0,3,0,0
249,1,1,1,37.0,1,1,52.5542,0,3,0,0
252,0,3,0,29.0,1,1,10.4625,0,3,0,0
253,0,1,1,62.0,0,0,26.55,0,1,1,0
258,1,1,0,30.0,0,0,86.5,0,1,1,0
263,0,1,1,52.0,1,1,79.65,0,3,0,0
264,0,1,1,40.0,0,0,49.5042,0,1,1,0
269,1,1,0,58.0,0,1,153.4625,0,2,0,0
270,1,1,0,35.0,0,0,135.6333,0,1,1,0
274,0,1,1,37.0,0,1,29.7,1,2,0,0
276,1,1,0,63.0,1,0,77.9583,0,2,0,0
285,0,1,1,40.0,0,0,26.0,0,1,1,0
292,1,1,0,19.0,1,0,91.0792,1,2,0,0
293,0,2,1,36.0,0,0,12.875,1,1,1,0
298,0,1,0,2.0,1,2,151.55,0,4,0,0
299,1,1,1,40.0,0,0,30.5,0,1,1,0
300,1,1,0,50.0,0,1,247.5208,1,2,0,0
304,1,2,0,24.0,0,0,12.35,0,1,1,0
306,1,1,1,0.92,1,2,151.55,0,4,0,1
308,1,1,0,17.0,1,0,108.9,1,2,0,0
310,1,1,0,30.0,0,0,56.9292,1,1,1,0
311,1,1,0,24.0,0,0,83.1583,1,1,1,0
312,1,1,0,18.0,2,2,262.375,1,5,0,0
319,1,1,0,31.0,0,2,164.8667,0,3,0,0
320,1,1,0,40.0,1,1,134.5,1,3,0,0
326,1,1,0,36.0,0,0,135.6333,1,1,1,0
328,1,2,0,36.0,0,0,13.0,0,1,1,0
330,1,1,0,16.0,0,1,57.9792,1,2,0,0
332,0,1,1,45.5,0,0,28.5,0,1,1,0
333,0,1,1,38.0,0,1,153.4625,0,2,0,0
337,0,1,1,29.0,1,0,66.6,0,2,0,0
338,1,1,0,41.0,0,0,134.5,1,1,1,0
340,0,1,1,45.0,0,0,35.5,0,1,1,0
341,1,2,1,2.0,1,1,26.0,0,3,0,1
342,1,1,0,24.0,3,2,263.0,0,6,0,0
