PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,Alone,Title,Level
1,0,3,0.0,22.0,1,0,7.25,0.0,2,0,0.0,F
2,1,1,1.0,38.0,1,0,71.2833,1.0,2,0,0.0,C
3,1,3,1.0,26.0,0,0,7.925,0.0,1,1,0.0,A
4,1,1,1.0,35.0,1,0,53.1,0.0,2,0,0.0,C
5,0,3,0.0,35.0,0,0,8.05,0.0,1,1,0.0,F
6,0,3,0.0,26.0,0,0,8.4583,0.0,1,1,0.0,A
7,0,1,0.0,54.0,0,0,51.8625,0.0,1,1,0.0,E
8,0,3,0.0,2.0,3,1,21.075,0.0,5,0,1.0,F
9,1,3,1.0,27.0,0,2,11.1333,0.0,3,0,0.0,A
10,1,2,1.0,14.0,1,0,30.0708,1.0,2,0,0.0,A
11,1,3,1.0,4.0,1,1,16.7,0.0,3,0,0.0,G
12,1,1,1.0,58.0,0,0,26.55,0.0,1,1,0.0,C
13,0,3,0.0,20.0,0,0,8.05,0.0,1,1,0.0,A
14,0,3,0.0,39.0,1,5,31.275,0.0,7,0,0.0,A
15,0,3,1.0,14.0,0,0,7.8542,0.0,1,1,0.0,A
16,1,2,1.0,55.0,0,0,16.0,0.0,1,1,0.0,D
17,0,3,0.0,2.0,4,1,29.125,0.0,6,0,1.0,A
18,1,2,0.0,31.0,0,0,13.0,0.0,1,1,0.0,E
19,0,3,1.0,31.0,1,0,18.0,0.0,2,0,0.0,A
20,1,3,1.0,31.0,0,0,7.225,1.0,1,1,0.0,F
21,0,2,0.0,35.0,0,0,26.0,0.0,1,1,0.0,D
22,1,2,0.0,34.0,0,0,13.0,0.0,1,1,0.0,D
23,1,3,1.0,15.0,0,0,8.0292,0.0,1,1,0.0,A
24,1,1,0.0,28.0,0,0,35.5,0.0,1,1,0.0,A
25,0,3,1.0,8.0,3,1,21.075,0.0,5,0,0.0,A
26,1,3,1.0,38.0,1,5,31.3875,0.0,7,0,0.0,A
27,0,3,0.0,26.0,0,0,7.225,1.0,1,1,0.0,F
28,0,1,0.0,19.0,3,2,263.0,0.0,6,0,0.0,C
29,1,3,1.0,18.0,0,0,7.8792,0.0,1,1,0.0,A
30,0,3,0.0,26.0,0,0,7.8958,0.0,1,1,0.0,F
31,0,1,0.0,40.0,0,0,27.7208,1.0,1,1,0.0,A
32,1,1,1.0,40.0,1,0,146.5208,1.0,2,0,0.0,B
33,1,3,1.0,18.0,0,0,7.75,0.0,1,1,0.0,A
34,0,2,0.0,66.0,0,0,10.5,0.0,1,1,0.0,A
35,0,1,0.0,28.0,1,0,82.1708,1.0,2,0,0.0,A
36,0,1,0.0,42.0,1,0,52.0,0.0,2,0,0.0,A
37,1,3,0.0,26.0,0,0,7.2292,1.0,1,1,0.0,A
38,0,3,0.0,21.0,0,0,8.05,0.0,1,1,0.0,A
39,0,3,1.0,18.0,2,0,18.0,0.0,3,0,0.0,G
40,1,3,1.0,14.0,1,0,11.2417,1.0,2,0,0.0,A
41,0,3,1.0,40.0,1,0,9.475,0.0,2,0,0.0,A
42,0,2,1.0,27.0,1,0,21.0,0.0,2,0,0.0,A
43,0,3,0.0,26.0,0,0,7.8958,1.0,1,1,0.0,F
44,1,2,1.0,3.0,1,2,41.5792,1.0,4,0,0.0,A
45,1,3,1.0,19.0,0,0,7.8792,0.0,1,1,0.0,F
46,0,3,0.0,26.0,0,0,8.05,0.0,1,1,0.0,F
47,0,3,0.0,26.0,1,0,15.5,0.0,2,0,0.0,A
48,1,3,1.0,18.0,0,0,7.75,0.0,1,1,0.0,F
49,0,3,0.0,26.0,2,0,21.6792,1.0,3,0,0.0,F
50,0,3,1.0,18.0,1,0,17.8,0.0,2,0,0.0,A
51,0,3,0.0,7.0,4,1,39.6875,0.0,6,0,1.0,F
52,0,3,0.0,21.0,0,0,7.8,0.0,1,1,0.0,F
53,1,1,1.0,49.0,1,0,76.7292,1.0,2,0,0.0,D
54,1,2,1.0,29.0,1,0,26.0,0.0,2,0,0.0,A
55,0,1,0.0,65.0,0,1,61.9792,1.0,2,0,0.0,B
56,1,1,0.0,40.0,0,0,35.5,0.0,1,1,0.0,C
57,1,2,1.0,21.0,0,0,10.5,0.0,1,1,0.0,A
58,0,3,0.0,28.5,0,0,7.2292,1.0,1,1,0.0,F
59,1,2,1.0,5.0,1,2,27.75,0.0,4,0,0.0,F
60,0,3,0.0,11.0,5,2,46.9,0.0,8,0,1.0,F
61,0,3,0.0,22.0,0,0,7.2292,1.0,1,1,0.0,F
62,1,1,1.0,38.0,0,0,80.0,0.0,1,1,0.0,B
63,0,1,0.0,45.0,1,0,83.475,0.0,2,0,0.0,C
64,0,3,0.0,4.0,3,2,27.9,0.0,6,0,1.0,F
65,0,1,0.0,40.0,0,0,27.7208,1.0,1,1,0.0,A
66,1,3,0.0,4.0,1,1,15.2458,1.0,3,0,1.0,A
67,1,2,1.0,29.0,0,0,10.5,0.0,1,1,0.0,F
68,0,3,0.0,19.0,0,0,8.1583,0.0,1,1,0.0,F
69,1,3,1.0,17.0,4,2,7.925,0.0,7,0,0.0,A
70,0,3,0.0,26.0,2,0,8.6625,0.0,3,0,0.0,F
71,0,2,0.0,32.0,0,0,10.5,0.0,1,1,0.0,A
72,0,3,1.0,16.0,5,2,46.9,0.0,8,0,0.0,A
73,0,2,0.0,21.0,0,0,73.5,0.0,1,1,0.0,F
74,0,3,0.0,26.0,1,0,14.4542,1.0,2,0,0.0,A
75,1,3,0.0,32.0,0,0,56.4958,0.0,1,1,0.0,A
76,0,3,0.0,25.0,0,0,7.65,0.0,1,1,0.0,F
77,0,3,0.0,26.0,0,0,7.8958,0.0,1,1,0.0,F
78,0,3,0.0,26.0,0,0,8.05,0.0,1,1,0.0,F
79,1,2,0.0,0.83,0,2,29.0,0.0,3,0,1.0,F
80,1,3,1.0,30.0,0,0,12.475,0.0,1,1,0.0,A
81,0,3,0.0,22.0,0,0,9.0,0.0,1,1,0.0,F
82,1,3,0.0,29.0,0,0,9.5,0.0,1,1,0.0,A
83,1,3,1.0,18.0,0,0,7.7875,0.0,1,1,0.0,F
84,0,1,0.0,28.0,0,0,47.1,0.0,1,1,0.0,A
